athlete_id,name,DOB,Height(cm),Weight(kg),Year,Type,Sport,Event,NOC,Team,Medal,Region,Bronze,Gold,Silver
1532872,ALEKSANYAN Artur,21-10-1991,0,0,2024,Summer,Wrestling,Men's Greco-Roman 97kg,ARM,,Silver,Armenia,FALSE,FALSE,TRUE
1532873,AMOYAN Malkhas,22-01-1999,0,0,2024,Summer,Wrestling,Men's Greco-Roman 77kg,ARM,,Bronze,Armenia,TRUE,FALSE,FALSE
1532874,GALSTYAN Slavik,21-12-1996,0,0,2024,Summer,Wrestling,Men's Greco-Roman 67kg,ARM,,,Armenia,FALSE,FALSE,FALSE
1532944,HARUTYUNYAN Arsen,22-11-1999,0,0,2024,Summer,Wrestling,Men's Freestyle 57kg,ARM,,,Armenia,FALSE,FALSE,FALSE
1532945,TEVANYAN Vazgen,27-10-1999,0,0,2024,Summer,Wrestling,Men's Freestyle 65kg,ARM,,,Armenia,FALSE,FALSE,FALSE
1532951,ARENAS Lorena,17-09-1993,162,0,2024,Summer,Athletics,"Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed",COL,,,Colombia,FALSE,FALSE,FALSE
1533112,McKENZIE Ashley,17-07-1989,0,0,2024,Summer,Judo,Men -60 kg,JAM,,,Jamaica,FALSE,FALSE,FALSE
1533136,BASS BITTAYE Gina Mariam,03-05-1995,161,0,2024,Summer,Athletics,"Women's 100m"", ""Women's 200m",GAM,,,Gambia,FALSE,FALSE,FALSE
1533176,CAMARA Ebrahima,18-09-1996,178,0,2024,Summer,Athletics,Men's 100m,GAM,,,Gambia,FALSE,FALSE,FALSE
1533188,RUEDA SANTOS Lizeth,07-03-1994,0,0,2024,Summer,Triathlon,Women's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1533189,TAPIA VIDAL Rosa Maria,27-08-1997,0,0,2024,Summer,Triathlon,Women's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1533190,GRAJALES Crisanto,06-05-1987,0,0,2024,Summer,Triathlon,Men's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1533208,MAAROUFOU Hachim,13-02-1997,183,0,2024,Summer,Athletics,Men's 100m,COM,,,Comoros,FALSE,FALSE,FALSE
1533209,SAADI Maesha,16-01-2007,0,0,2024,Summer,Swimming,Women's 50m Freestyle,COM,,,Comoros,FALSE,FALSE,FALSE
1533230,DIOSDADO Nuria,22-08-1990,0,0,2024,Summer,Swimming,"Team', 'Duet",MEX,,,Mexico,FALSE,FALSE,FALSE
1533231,JIMENEZ Joana,19-08-1993,0,0,2024,Summer,Swimming,"Team', 'Duet",MEX,,,Mexico,FALSE,FALSE,FALSE
1533232,SOBRINO Jessica,26-05-1994,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533234,ALFEREZ Regina,01-12-1997,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533235,ARELLANO Fernanda,28-02-2002,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533237,TOSCANO Pamela,13-01-2000,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533239,GONZALEZ Itzamary,14-11-2003,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533240,RODRIGUEZ Samanta,05-12-1994,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533243,INZUNZA Glenda,12-03-2000,0,0,2024,Summer,Swimming,Team,MEX,,,Mexico,FALSE,FALSE,FALSE
1533245,SEHEN Sajjad,08-03-1996,0,0,2024,Summer,Judo,Men -81 kg,IRQ,,,Iraq,FALSE,FALSE,FALSE
1533359,RUBAIAWI Ali Ammar Yusur,02-08-2004,0,0,2024,Summer,Weightlifting,Men's +102kg,IRQ,,,Iraq,FALSE,FALSE,FALSE
1533364,ISMAIL Mohamed,01-01-1997,170,0,2024,Summer,Athletics,Men's 5000m,DJI,,,Djibouti,FALSE,FALSE,FALSE
1533371,HASSAN Ibrahim,01-01-1997,170,0,2024,Summer,Athletics,Men's Marathon,DJI,,,Djibouti,FALSE,FALSE,FALSE
1533372,WAISS Abdi,03-07-1996,170,0,2024,Summer,Athletics,Men's 5000m,DJI,,,Djibouti,FALSE,FALSE,FALSE
1533374,HASSAN NOUR Samiyah,05-12-1999,160,0,2024,Summer,Athletics,Women's 5000m,DJI,,,Djibouti,FALSE,FALSE,FALSE
1533378,HOUSSEIN BARKAT Houmed,04-04-2004,0,0,2024,Summer,Swimming,Men's 50m Freestyle,DJI,,,Djibouti,FALSE,FALSE,FALSE
1535180,BARAT Andy,29-11-1997,0,0,2024,Summer,Canoeing,"Men's Kayak Single"", ""Men's Kayak Cross",COM,,,Comoros,FALSE,FALSE,FALSE
1535186,MARTINEZ RAMIREZ Miguel Angel,17-03-2001,178,0,2024,Summer,Boxing,Men's 63.5kg,MEX,,,Mexico,FALSE,FALSE,FALSE
